"2023-11-01 09:53:58 [main] INFO  album.song.SongApplication - Starting SongApplication using Java 11.0.18 on NIKITA with PID 17532 (C:\Users\User\Desktop\TPI\TPI_Lab02\lab1\target\classes started by User in C:\Users\User\Desktop\TPI\TPI_Lab02\lab1)
""2023-11-01 09:53:58 [main] INFO  album.song.SongApplication - No active profile set, falling back to 1 default profile: "default"
""2023-11-01 09:54:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-11-01 09:54:00 [main] INFO  o.a.catalina.core.StandardService - Strting service [Tomcat]
""2023-11-01 09:54:00 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
""2023-11-01 09:54:00 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-11-01 09:54:00 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1080 ms
""2023-11-01 09:54:00 [main] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
""2023-11-01 09:54:00 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-11-01 09:54:00 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
""2023-11-01 09:54:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-11-01 09:54:00 [main] INFO  album.song.SongApplication - Started SongApplication in 1.964 seconds (JVM running for 2.831)
""2023-11-01 09:54:00 [RMI TCP Connection(1)-26.40.199.134] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-11-01 09:54:10 [http-nio-8080-exec-1] INFO  album.song.controller.SongController - /index was called
""2023-11-01 09:55:14 [http-nio-8080-exec-1] INFO  album.song.controller.SongController - /editsong GET was called
""2023-11-01 09:55:21 [http-nio-8080-exec-2] INFO  album.song.controller.SongController - /index was called
"
